School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Blue Springs South,6.71,7.47,14.18,1,2,1
Grain Valley,5.98,6.82,12.79,2,6,2
Rock Bridge,5.48,6.62,12.1,5,7,3
Blue Springs,4.96,7.01,11.98,6,5,4
Lee's Summit North,4.01,7.88,11.89,18,1,5
Eureka,5.86,5.86,11.73,3,12,6
Marquette,4.07,7.16,11.22,17,4,7
Liberty North,5.76,5.4,11.15,4,18,8
Liberty,4.4,6.42,10.82,11,8,9
Helias Catholic,4.37,6.38,10.75,12,9,10
Staley,4.81,5.8,10.61,9,13,11
Lee's Summit West,4.25,6.25,10.5,14,10,12
Ozark,4.13,6.06,10.19,16,11,13
Francis Howell Central,4.76,5.18,9.94,10,19,14
Troy Buchanan,2.61,7.32,9.93,35,3,15
Ft. Zumwalt West,4.26,5.1,9.35,13,21,16
Parkway South,4.13,4.92,9.05,15,23,17
Lafayette (Wildwood),2.8,5.67,8.47,31,14,18
Nixa,2.91,5.55,8.46,29,16,19
Central (St. Joseph),4.82,3.61,8.43,8,32,20
Francis Howell,3.17,5.15,8.31,27,20,21
Park Hill South,3.86,4.32,8.18,19,25,22
Jackson,2.64,5.47,8.1,34,17,23
Notre Dame (Cape Girardeau),3.42,4.56,7.98,24,24,24
St. Dominic,4.83,3.1,7.93,7,36,25
Parkway West,3.65,4.03,7.68,21,28,26
Oakville,3.81,3.74,7.55,20,31,27
Kickapoo,3.58,3.95,7.53,23,29,28
Carthage,1.38,5.67,7.05,44,15,29
Timberland,2.73,4.28,7.01,32,26,30
Park Hill,3.6,2.97,6.57,22,37,31
Hickman,1.57,4.97,6.54,43,22,32
Ft. Zumwalt South,2.82,3.19,6.01,30,35,33
Poplar Bluff,2.67,3.28,5.95,33,34,34
Fox,1.95,3.83,5.78,41,30,35
Republic,3.2,2.38,5.57,25,42,36
Francis Howell North,1.34,4.18,5.52,46,27,37
Fort Osage,3.16,2.33,5.49,28,43,38
Raymore-Peculiar,1.9,3.31,5.21,42,33,39
Northwest (Cedar Hill),2.54,2.46,5.0,36,41,40
Lee's Summit,2.11,2.55,4.66,39,40,41
Seckman,2.39,1.36,3.75,37,48,42
Lindbergh,3.17,0.5,3.67,26,49,43
Liberty (Wentzville),2.29,1.36,3.65,38,47,44
Joplin,1.06,2.56,3.62,48,39,45
Kirkwood,1.14,1.81,2.95,47,46,46
Mehlville,0.27,2.67,2.94,53,38,47
Glendale,0.92,1.9,2.82,49,45,48
Belton,-0.42,2.13,1.71,54,44,49
Lebanon,1.38,0.13,1.51,45,50,50
Holt,2.06,-0.61,1.45,40,52,51
Pattonville,0.52,-0.01,0.51,51,51,52
Ft. Zumwalt North,0.89,-2.2,-1.31,50,57,53
Ritenour,0.29,-2.1,-1.82,52,56,54
Hazelwood West,-1.43,-1.28,-2.71,56,53,55
Oak Park,-1.28,-1.64,-2.92,55,54,56
Waynesville,-2.62,-1.99,-4.61,58,55,57
North Kansas City,-2.23,-2.96,-5.19,57,58,58
Raytown,-3.52,-6.8,-10.32,59,59,59
Central (Springfield),-6.45,-11.53,-17.97,60,60,60
